testcat, modules, coeffset, cstruct, target, cfgstr, max-shift, wsize-in, freq, clbs, luts, ffs, dsps, fmax, logic-levels, power (total), power (static), power (dynamic)
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 4, 400, 13, 15, 13, 0, 666.67, 3  (CARRY4=2 SRLC32E=1), 0.666, 0.636, 0.029
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 4, 600, 15, 15, 13, 0, 789.27, 3  (CARRY4=2 SRLC32E=1), 0.681, 0.637, 0.044
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 5, 400, 13, 16, 15, 0, 634.12, 3  (CARRY4=2 SRLC32E=1), 0.669, 0.636, 0.032
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 5, 200, 13, 16, 15, 0, 565.29, 2  (CARRY4=1 SRLC32E=1), 0.652, 0.636, 0.016
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 5, 600, 14, 16, 15, 0, 757.00, 4  (CARRY4=3 SRLC32E=1), 0.685, 0.637, 0.048
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 6, 200, 16, 17, 17, 0, 524.66, 3  (CARRY4=2 SRLC32E=1), 0.654, 0.636, 0.018
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 6, 400, 13, 17, 17, 0, 562.75, 4  (CARRY4=3 SRLC32E=1), 0.671, 0.637, 0.035
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 6, 600, 15, 17, 17, 0, 746.83, 3  (CARRY4=2 SRLC32E=1), 0.689, 0.637, 0.052
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 7, 200, 17, 18, 19, 0, 541.42, 3  (CARRY4=2 SRLC32E=1), 0.655, 0.636, 0.019
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 7, 400, 14, 18, 19, 0, 577.37, 3  (CARRY4=2 SRLC32E=1), 0.674, 0.637, 0.038
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 7, 600, 15, 18, 19, 0, 807.75, 3  (CARRY4=2 SRLC32E=1), 0.693, 0.637, 0.057
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 8, 200, 15, 19, 21, 0, 577.70, 3  (CARRY4=2 SRLC32E=1), 0.657, 0.636, 0.020
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 8, 400, 15, 19, 21, 0, 552.18, 4  (CARRY4=3 SRLC32E=1), 0.677, 0.637, 0.041
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 8, 600, 19, 19, 21, 0, 745.16, 3  (CARRY4=2 SRLC32E=1), 0.698, 0.637, 0.061
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 10, 200, 19, 21, 25, 0, 505.05, 3  (CARRY4=2 SRLC32E=1), 0.660, 0.636, 0.023
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 10, 400, 16, 21, 25, 0, 623.83, 4  (CARRY4=3 SRLC32E=1), 0.683, 0.637, 0.046
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 10, 600, 19, 21, 25, 0, 707.71, 3  (CARRY4=2 SRLC32E=1), 0.706, 0.637, 0.069
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 12, 200, 18, 23, 29, 0, 528.26, 3  (CARRY4=2 SRLC32E=1), 0.662, 0.636, 0.026
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 12, 400, 18, 23, 29, 0, 560.85, 4  (CARRY4=3 SRLC32E=1), 0.689, 0.637, 0.052
recfg_select, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 12, 600, 23, 23, 29, 0, 713.27, 4  (CARRY4=3 SRLC32E=1), 0.715, 0.637, 0.078
recfg_selectLowEnergy, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 4, 200, 13, 16, 13, 0, 666.67, 3  (CARRY4=2 SRLC32E=1), 0.645, 0.636, 0.008
recfg_selectLowEnergy, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 4, 400, 13, 16, 13, 0, 666.67, 3  (CARRY4=2 SRLC32E=1), 0.653, 0.636, 0.017
recfg_selectLowEnergy, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 4, 600, 16, 16, 13, 0, 787.40, 3  (CARRY4=2 SRLC32E=1), 0.662, 0.636, 0.026
recfg_selectLowEnergy, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 5, 200, 14, 17, 15, 0, 609.38, 3  (CARRY4=2 SRLC32E=1), 0.645, 0.636, 0.009
recfg_selectLowEnergy, C, -14 -2 0 14 | -14 0 2 14, C1, virtex7, HM1-C1-C9824:4972-4-1, 4, 5, 400, 13, 17, 15, 0, 606.80, 3  (CARRY4=2 SRLC32E=1), 0.655, 0.636, 0.018
