testcat, modules, coeffset, cstruct, target, cfgstr, max-shift, wsize-in, freq, clbs, luts, ffs, dsps, fmax, logic-levels, power (total), power (static), power (dynamic)
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 7, 600, 7, 11, 17, 0, 834.03, 4  (CARRY4=3 LUT4=1), 0.684, 0.637, 0.048
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 8, 200, 7, 12, 19, 0, 756.43, 3  (CARRY4=2 LUT5=1), 0.654, 0.636, 0.017
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 8, 400, 7, 12, 19, 0, 793.02, 2  (CARRY4=1 LUT3=1), 0.671, 0.637, 0.035
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 8, 600, 8, 12, 19, 0, 849.62, 3  (CARRY4=2 LUT5=1), 0.689, 0.637, 0.052
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 10, 200, 9, 14, 23, 0, 672.04, 3  (CARRY4=2 LUT5=1), 0.657, 0.636, 0.021
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 10, 400, 9, 14, 23, 0, 692.52, 3  (CARRY4=2 LUT5=1), 0.678, 0.637, 0.041
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 10, 600, 12, 14, 23, 0, 888.89, 4  (CARRY4=3 LUT5=1), 0.699, 0.637, 0.062
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 12, 200, 8, 16, 27, 0, 670.24, 4  (CARRY4=3 LUT5=1), 0.660, 0.636, 0.024
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 12, 400, 8, 16, 27, 0, 676.59, 3  (CARRY4=2 LUT5=1), 0.684, 0.637, 0.047
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 12, 600, 13, 16, 27, 0, 838.93, 4  (CARRY4=3 LUT5=1), 0.708, 0.637, 0.071
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 16, 200, 11, 20, 35, 0, 601.32, 3  (CARRY4=2 LUT5=1), 0.667, 0.636, 0.030
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 16, 400, 11, 20, 35, 0, 643.50, 3  (CARRY4=2 LUT5=1), 0.697, 0.637, 0.060
a_and_b, A B, 0 2 3 6, C1, virtex7, HM1-C1-A0246-012-1, 2, 16, 600, 16, 20, 35, 0, 816.99, 6  (CARRY4=5 LUT4=1), 0.728, 0.637, 0.091
a_and_b, A B, -1 0 1, C1, virtex7, HM1-C1-B1234-01-0, 2, 4, 200, 5, 7, 10, 0, 708.72, 3  (CARRY4=2 LUT6=1), 0.648, 0.636, 0.012
a_and_b, A B, -1 0 1, C1, virtex7, HM1-C1-B1234-01-0, 2, 4, 400, 5, 7, 10, 0, 708.72, 3  (CARRY4=2 LUT6=1), 0.660, 0.636, 0.024
a_and_b, A B, -1 0 1, C1, virtex7, HM1-C1-B1234-01-0, 2, 4, 600, 5, 7, 10, 0, 704.23, 3  (CARRY4=2 LUT6=1), 0.672, 0.637, 0.036
