testcat, modules, coeffset, cstruct, target, cfgstr, max-shift, wsize-in, freq, clbs, luts, ffs, dsps, fmax, logic-levels, power (total), power (static), power (dynamic)
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 4, 200, 5, 8, 11, 0, 709.72, 3  (CARRY4=2 LUT6=1), 0.649, 0.636, 0.012
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 4, 600, 6, 8, 11, 0, 658.76, 3  (CARRY4=2 LUT6=1), 0.673, 0.637, 0.037
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 5, 200, 5, 9, 13, 0, 687.76, 3  (CARRY4=2 LUT6=1), 0.650, 0.636, 0.014
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 5, 600, 7, 9, 13, 0, 702.25, 2  (CARRY4=1 LUT6=1), 0.678, 0.637, 0.041
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 5, 400, 5, 9, 13, 0, 687.76, 3  (CARRY4=2 LUT6=1), 0.664, 0.636, 0.027
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 6, 200, 6, 10, 15, 0, 670.24, 3  (CARRY4=2 LUT6=1), 0.652, 0.636, 0.015
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 6, 400, 6, 10, 15, 0, 670.24, 3  (CARRY4=2 LUT6=1), 0.667, 0.636, 0.030
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 6, 600, 9, 10, 15, 0, 663.57, 3  (CARRY4=2 LUT6=1), 0.683, 0.637, 0.046
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 7, 200, 6, 11, 17, 0, 618.81, 4  (CARRY4=3 LUT6=1), 0.653, 0.636, 0.017
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 7, 400, 6, 11, 17, 0, 636.54, 4  (CARRY4=3 LUT6=1), 0.670, 0.636, 0.033
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 7, 600, 7, 11, 17, 0, 711.24, 3  (CARRY4=2 LUT6=1), 0.687, 0.637, 0.051
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 8, 200, 7, 12, 19, 0, 666.22, 3  (CARRY4=2 LUT6=1), 0.654, 0.636, 0.018
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 8, 400, 7, 12, 19, 0, 670.24, 3  (CARRY4=2 LUT6=1), 0.673, 0.637, 0.036
